product_name,product_description,price
T-shirt,Comfortable cotton t-shirt,15.99
Jeans,Classic denim jeans,29.99
Sneakers,Stylish sneakers for everyday wear,39.99
Dress,Elegant evening dress,49.99
Shirt,Formal button-down shirt,24.99
Sweater,Warm and cozy winter sweater,34.99
Jacket,Lightweight spring jacket,44.99
Hat,Stylish hat for all seasons,19.99
Sunglasses,Cool sunglasses for sunny days,29.99
Watch,Elegant watch for everyday wear,49.99
Scarf,Soft and cozy scarf for winter,14.99
Belt,Leather belt to complete your outfit,29.99
Bag,Spacious and stylish bag for everyday use,39.99
Wallet,Leather wallet to keep your essentials secure,24.99
Perfume,Long-lasting perfume for a fresh scent,49.99
Deodorant,Long-lasting deodorant to keep you feeling fresh,9.99
Shampoo,Nourishing shampoo for healthy hair,14.99
Conditioner,Hydrating conditioner for smooth hair,12.99
Lotion,Moisturizing lotion for soft skin,19.99
Soap,Gentle soap for all skin types,7.99
Toothbrush,Electric toothbrush for a clean smile,29.99
Toothpaste,Minty toothpaste for fresh breath,5.99
Coffee,Rich and flavorful coffee to start your day,12.99
Tea,Selection of herbal and black teas,8.99
Water bottle,Reusable water bottle to stay hydrated,14.99
Notebook,Stylish notebook for taking notes,7.99
Pen,Smooth-writing pen for everyday use,4.99
